Ticker,Date,Open,High,Low,Close,Adj Close,Volume
AAPL,2000-10-02,1.91,1.91,1.68,1.73,1.51,606197200
AAPL,2000-10-03,1.78,1.79,1.58,1.59,1.39,509530000
AAPL,2000-10-04,1.6,1.7,1.56,1.69,1.47,366506000
AAPL,2000-10-05,1.68,1.75,1.57,1.58,1.38,218251600
AAPL,2000-10-06,1.62,1.64,1.5,1.58,1.38,153164200
AAPL,2000-10-09,1.62,1.63,1.51,1.55,1.36,149391200
AAPL,2000-10-10,1.54,1.6,1.46,1.49,1.3,172775400
AAPL,2000-10-11,1.44,1.5,1.37,1.4,1.22,299605600
AAPL,2000-10-12,1.45,1.49,1.39,1.43,1.25,297766000
AAPL,2000-10-13,1.45,1.58,1.43,1.58,1.38,311938200
AAPL,2000-10-16,1.59,1.66,1.53,1.54,1.34,205044000
AAPL,2000-10-17,1.55,1.57,1.41,1.44,1.25,150430000
AAPL,2000-10-18,1.39,1.5,1.34,1.44,1.25,208566400
AAPL,2000-10-19,1.37,1.42,1.31,1.35,1.18,376681200
AAPL,2000-10-20,1.36,1.46,1.35,1.39,1.22,197815800
AAPL,2000-10-23,1.45,1.47,1.39,1.46,1.27,137823000
AAPL,2000-10-24,1.48,1.49,1.34,1.35,1.18,201112800
AAPL,2000-10-25,1.36,1.37,1.32,1.32,1.15,165992400
AAPL,2000-10-26,1.34,1.35,1.25,1.32,1.15,180462800
AAPL,2000-10-27,1.35,1.37,1.28,1.33,1.16,186125800
AAPL,2000-10-30,1.37,1.42,1.34,1.38,1.2,159797400
AAPL,2000-10-31,1.41,1.45,1.38,1.4,1.22,221470200
AAPL,2000-11-01,1.39,1.49,1.39,1.46,1.28,143841600
AAPL,2000-11-02,1.51,1.6,1.5,1.59,1.39,147673400
AAPL,2000-11-03,1.64,1.64,1.57,1.59,1.39,128955400
AAPL,2000-11-06,1.6,1.62,1.49,1.53,1.34,98369600
AAPL,2000-11-07,1.54,1.56,1.49,1.52,1.33,75490800
AAPL,2000-11-08,1.53,1.53,1.42,1.43,1.25,105522200
AAPL,2000-11-09,1.42,1.46,1.36,1.44,1.26,119208600
AAPL,2000-11-10,1.38,1.42,1.36,1.36,1.19,105562800
AAPL,2000-11-13,1.34,1.43,1.3,1.38,1.21,107954000
AAPL,2000-11-14,1.42,1.46,1.4,1.45,1.26,102250400
AAPL,2000-11-15,1.43,1.44,1.38,1.42,1.24,70589400
AAPL,2000-11-16,1.39,1.42,1.35,1.36,1.18,59843000
AAPL,2000-11-17,1.37,1.38,1.3,1.32,1.15,111545000
AAPL,2000-11-20,1.33,1.39,1.3,1.35,1.18,102016600
AAPL,2000-11-21,1.37,1.39,1.34,1.34,1.17,75488000
AAPL,2000-11-22,1.34,1.37,1.31,1.32,1.15,70133000
AAPL,2000-11-24,1.35,1.39,1.34,1.38,1.2,40233200
AAPL,2000-11-27,1.42,1.42,1.32,1.33,1.16,64698200
AAPL,2000-11-28,1.33,1.36,1.28,1.29,1.12,67281200
AAPL,2000-11-29,1.29,1.31,1.23,1.25,1.09,123037600
AAPL,2000-11-30,1.19,1.21,1.15,1.18,1.03,202399400
AAPL,2000-12-01,1.21,1.25,1.2,1.22,1.06,96426400
AAPL,2000-12-04,1.23,1.23,1.17,1.19,1.04,92880200
AAPL,2000-12-05,1.21,1.25,1.17,1.21,1.06,153494600
AAPL,2000-12-06,1.04,1.07,1.0,1.02,0.89,343616000
AAPL,2000-12-07,1.03,1.06,1.0,1.02,0.89,102229400
AAPL,2000-12-08,1.06,1.09,1.03,1.08,0.94,108906000
AAPL,2000-12-11,1.08,1.1,1.06,1.08,0.95,83127800
AAPL,2000-12-12,1.09,1.14,1.07,1.1,0.96,96565000
AAPL,2000-12-13,1.11,1.11,1.06,1.07,0.94,86221800
AAPL,2000-12-14,1.07,1.09,1.03,1.03,0.9,65829400
AAPL,2000-12-15,1.04,1.05,1.0,1.0,0.88,128486400
AAPL,2000-12-18,1.04,1.04,1.0,1.02,0.89,81452000
AAPL,2000-12-19,1.03,1.09,1.0,1.0,0.87,93501800
AAPL,2000-12-20,0.98,1.04,0.97,1.03,0.9,141332800
AAPL,2000-12-21,1.02,1.07,0.99,1.0,0.88,91711200
AAPL,2000-12-22,1.01,1.07,1.01,1.07,0.94,79513000
AAPL,2000-12-26,1.06,1.07,1.02,1.05,0.92,54203800
AAPL,2000-12-27,1.02,1.06,1.01,1.06,0.92,81366600
AAPL,2000-12-28,1.03,1.07,1.02,1.06,0.92,76294400
AAPL,2000-12-29,1.05,1.07,1.04,1.06,0.93,157584000
AAPL,2001-01-02,1.06,1.09,1.04,1.06,0.93,113078000
AAPL,2001-01-03,1.04,1.19,1.03,1.17,1.02,204268400
AAPL,2001-01-04,1.3,1.32,1.2,1.22,1.06,184849000
AAPL,2001-01-05,1.21,1.24,1.15,1.17,1.02,103089000
AAPL,2001-01-08,1.21,1.21,1.14,1.18,1.03,93424800
AAPL,2001-01-09,1.2,1.26,1.18,1.23,1.07,147232400
AAPL,2001-01-10,1.19,1.21,1.15,1.18,1.03,145195400
AAPL,2001-01-11,1.16,1.32,1.16,1.29,1.12,200933600
AAPL,2001-01-12,1.28,1.29,1.22,1.23,1.07,105844200
AAPL,2001-01-16,1.25,1.3,1.21,1.22,1.07,76529600
AAPL,2001-01-17,1.25,1.25,1.18,1.2,1.05,210218400
AAPL,2001-01-18,1.27,1.34,1.26,1.33,1.16,306752600
AAPL,2001-01-19,1.39,1.4,1.33,1.39,1.22,194166000
AAPL,2001-01-22,1.36,1.4,1.32,1.38,1.2,129831800
AAPL,2001-01-23,1.38,1.5,1.36,1.46,1.28,219882600
AAPL,2001-01-24,1.47,1.48,1.4,1.46,1.28,179272800
AAPL,2001-01-25,1.47,1.47,1.41,1.42,1.24,122427200
AAPL,2001-01-26,1.39,1.42,1.36,1.4,1.22,120705200
AAPL,2001-01-29,1.4,1.55,1.4,1.55,1.35,213882200
AAPL,2001-01-30,1.54,1.57,1.49,1.55,1.36,173105800
AAPL,2001-01-31,1.54,1.61,1.53,1.54,1.35,182676200
AAPL,2001-02-01,1.48,1.54,1.46,1.51,1.32,92423800
AAPL,2001-02-02,1.51,1.57,1.46,1.47,1.29,106835400
AAPL,2001-02-05,1.46,1.47,1.41,1.44,1.26,71528800
AAPL,2001-02-06,1.44,1.53,1.43,1.51,1.32,115677800
AAPL,2001-02-07,1.48,1.49,1.42,1.48,1.29,98471800
AAPL,2001-02-08,1.47,1.5,1.44,1.48,1.29,151032000
AAPL,2001-02-09,1.46,1.49,1.33,1.37,1.19,147520800
AAPL,2001-02-12,1.36,1.43,1.34,1.41,1.23,68530000
AAPL,2001-02-13,1.42,1.46,1.36,1.37,1.19,59267600
AAPL,2001-02-14,1.37,1.4,1.32,1.39,1.22,77280000
AAPL,2001-02-15,1.41,1.47,1.41,1.43,1.25,77854000
AAPL,2001-02-16,1.36,1.39,1.34,1.36,1.18,65977800
AAPL,2001-02-20,1.37,1.39,1.3,1.31,1.14,78723400
AAPL,2001-02-21,1.3,1.42,1.3,1.35,1.18,97564600
AAPL,2001-02-22,1.36,1.38,1.29,1.34,1.17,107990400
AAPL,2001-02-23,1.33,1.35,1.3,1.34,1.17,73466400
AAPL,2001-02-26,1.36,1.41,1.33,1.39,1.22,51609600
