Date,High,Low,Open,Close,Volume,Adj Close
2006-12-08,32.0,32.0,32.0,32.0,0.0,-53950.3046875
2006-12-11,45.79999923706055,36.0,36.0,40.0,649.0,-67437.875
2006-12-12,47.0,41.0,43.400001525878906,44.20000076293945,2322.0,-74518.84375
2006-12-13,50.0,43.0,45.0,50.0,428.0,-84297.359375
2006-12-14,52.0,48.0,52.0,48.0,180.0,-80925.453125
2006-12-15,46.0,46.0,46.0,46.0,0.0,-77553.5703125
2006-12-18,48.0,42.0,42.0,48.0,20.0,-80925.453125
2006-12-19,40.0,40.0,40.0,40.0,0.0,-67437.875
2006-12-20,40.0,40.0,40.0,40.0,0.0,-67437.875
2006-12-21,40.0,40.0,40.0,40.0,26.0,-67437.875
2006-12-22,40.0,40.0,40.0,40.0,26.0,-67437.875
2006-12-27,48.0,48.0,48.0,48.0,12.0,-80925.453125
2006-12-28,40.0,40.0,40.0,40.0,0.0,-67437.875
2006-12-29,40.0,40.0,40.0,40.0,12.0,-67437.875
2007-01-03,44.0,44.0,44.0,44.0,0.0,-74181.6640625
2007-01-04,38.0,38.0,38.0,38.0,0.0,-64065.98046875
2007-01-05,40.0,40.0,40.0,40.0,0.0,-67437.875
2007-01-08,38.0,38.0,38.0,38.0,26.0,-64065.98046875
2007-01-09,38.0,38.0,38.0,38.0,24.0,-64065.98046875
2007-01-10,36.0,36.0,36.0,36.0,0.0,-60694.10546875
2007-01-11,38.0,38.0,38.0,38.0,0.0,-64065.98046875
2007-01-12,40.0,40.0,40.0,40.0,0.0,-67437.875
2007-01-16,40.400001525878906,38.0,38.0,40.400001525878906,28.0,-68112.2578125
2007-01-17,40.0,40.0,40.0,40.0,0.0,-67437.875
2007-01-18,38.0,38.0,38.0,38.0,0.0,-64065.98046875
2007-01-19,40.0,40.0,40.0,40.0,36.0,-67437.875
2007-01-22,40.0,40.0,40.0,40.0,0.0,-67437.875
2007-01-23,36.0,36.0,36.0,36.0,0.0,-60694.10546875
2007-01-24,39.0,39.0,39.0,39.0,0.0,-65751.921875
2007-01-25,38.0,38.0,38.0,38.0,0.0,-64065.98046875
2007-01-26,38.0,38.0,38.0,38.0,0.0,-64065.98046875
2007-01-29,38.0,38.0,38.0,38.0,0.0,-64065.98046875
2007-01-30,40.0,30.0,30.0,40.0,30.0,-67437.875
2007-01-31,38.0,38.0,38.0,38.0,0.0,-64065.98046875
2007-02-01,38.0,38.0,38.0,38.0,0.0,-64065.98046875
2007-02-02,38.0,38.0,38.0,38.0,0.0,-64065.98046875
2007-02-05,38.0,38.0,38.0,38.0,0.0,-64065.98046875
2007-02-06,38.0,36.0,36.0,38.0,58.0,-64065.98046875
2007-02-07,32.0,32.0,32.0,32.0,0.0,-53950.3046875
2007-02-08,34.0,34.0,34.0,34.0,0.0,-57322.1953125
2007-02-09,32.0,32.0,32.0,32.0,0.0,-53950.3046875
2007-02-12,32.0,32.0,32.0,32.0,0.0,-53950.3046875
2007-02-13,36.0,36.0,36.0,36.0,0.0,-60694.10546875
2007-02-14,32.0,32.0,32.0,32.0,0.0,-53950.3046875
2007-02-15,32.0,32.0,32.0,32.0,0.0,-53950.3046875
